species_1	species_10	species_11	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
