time	Amadori	CML	Glucose	Glyoxal	Lysine	Schiff
133.0.	5.396900113003729e-05	9.777189011138167e-06	0.24961287524061102	9.47793744296898e-05	0.003127850673345	1.707249359348205e-05
140.0.	5.653879264656711e-05	1.032408789939921e-05	0.24959381514936002	9.917843967925198e-05	0.0031148171238500003	1.699590745161403e-05
147.0.	5.907770656005339e-05	1.0873398029796172e-05	0.24957480209863403	0.000103523600586	0.0031018279719310002	1.6919562916822183e-05
154.0.	6.158599689290713e-05	1.1425064541899741e-05	0.249555835848486	0.000107815531545	0.003088883014804	1.6843459118300694e-05
161.0.	6.406391577039029e-05	1.197903334873814e-05	0.24953691616080703	0.00011205489834500001	0.003075982050895	1.6767595190152752e-05
168.0.	6.651171343451184e-05	1.2535251125249909e-05	0.24951804279931403	0.00011624235829000001	0.003063124879832	1.669197027139351e-05
175.0.	6.892963825783e-05	1.3093665296918481e-05	0.24949921552953302	0.000120378560303	0.0030503113024440004	1.661658350595251e-05
182.0.	7.131793675715893e-05	1.3654224028588491e-05	0.24948043411879203	0.000124464145037	0.0030375411207580003	1.6541434042675292e-05
189.0.	7.36768536071827e-05	1.4216876213457822e-05	0.24946169833620502	0.00012849974498400002	0.0030248141379970003	1.6466521035324452e-05
196.0.	7.600663165397381e-05	1.478157146224607e-05	0.24944300795266003	0.00013248598458	0.003012130158579	1.6391843642579972e-05
203.0.	7.830751192842072e-05	1.5348260092532472e-05	0.249424362740809	0.000136423480309	0.0029994889881110004	1.631740102803909e-05
210.0.	8.057973365956127e-05	1.59168931182644e-05	0.24940576247505103	0.00014031284081000002	0.002986890433386	1.6243192360215373e-05
217.0.	8.28235342878258e-05	1.6487422239430082e-05	0.24938720693152602	0.000144154666973	0.0029743343023870003	1.6169216812537332e-05
224.0.	8.503914947818714e-05	1.705979983189597e-05	0.249368695888098	0.000147949552046	0.002961820404273	1.6095473563346473e-05
231.0.	8.722681313322126e-05	1.7633978937403683e-05	0.249350229124345	0.00015169808173000002	0.0029493485493860003	1.602196179589468e-05
238.0.	8.93867574060766e-05	1.8209913253725052e-05	0.249331806421548	0.000155400834279	0.002936918549242	1.5948680698341213e-05
245.0.	9.15192127133545e-05	1.8787557124972283e-05	0.24931342756267802	0.000159058380598	0.0029245302165290003	1.5875629463749024e-05
252.0.	9.362440774789928e-05	1.936686553206128e-05	0.249295092332381	0.00016267128433300002	0.002912183365106	1.5802807290080693e-05
259.0.	9.570256949150072e-05	1.9947794083324274e-05	0.249276800516975	0.000166240101971	0.0028998778099970004	1.5730213380193733e-05
266.0.	9.775392322750758e-05	2.053029900527083e-05	0.24925855190442803	0.00016976538293000002	0.002887613367389	1.5657846941835562e-05
273.0.	9.977869255335335e-05	2.1114337133494253e-05	0.249240346284356	0.000173247669653	0.002875389854627	1.5585707187637874e-05
280.0.	0.00010177709939200001	2.1699865903719793e-05	0.249222183448003	0.000176687497695	0.0028632070902130003	1.5513793335110572e-05
287.0.	0.00010374936400900001	2.228684334299504e-05	0.249204063188237	0.00018008539581300002	0.002851064893801	1.544210460663532e-05
294.0.	0.000105695705016	2.287522806101666e-05	0.249185985299533	0.00018344188605900002	0.002838963086193	1.537064022945862e-05
301.0.	0.00010761633939000001	2.346497924159471e-05	0.249167949577966	0.00018675748385700003	0.0028269014893360003	1.5299399435684422e-05
308.0.	0.00010951148248600001	2.405605663424972e-05	0.249149955821197	0.00019003269810100002	0.0028148799263190004	1.5228381462266403e-05
315.0.	0.00011138134804200002	2.4648420545941382e-05	0.249132003828464	0.000193268031229	0.002802898221368	1.5157585550999763e-05
322.0.	0.000113226148198	2.5242031832927282e-05	0.24911409340056803	0.000196463979312	0.002790956199843	1.5087010948512741e-05
329.0.	0.000115046093506	2.583685189274771e-05	0.24909622433986703	0.00019962103213500002	0.002779053688232	1.501665690625762e-05
336.0.	0.00011684139293800001	2.6432842656336903e-05	0.24907839645026103	0.00020273967327800001	0.002767190514151	1.4946522680501483e-05
343.0.	0.000118612253903	2.7029966580256313e-05	0.249060609537182	0.00020582038019700003	0.002755366506338	1.4876607532316531e-05
350.0.	0.00012035888225500002	2.762818663904982e-05	0.24904286340758403	0.000208863624302	0.002743581494647	1.4806910727570112e-05
357.0.	0.000122081482308	2.8227466317717255e-05	0.249025157869932	0.00021186987103800003	0.00273183531005	1.4737431536914382e-05
364.0.	0.000123780256841	2.8827769604305974e-05	0.249007492734194	0.000214839579956	0.0027201277846230004	1.4668169235775671e-05
371.0.	0.00012545540711800002	2.9429060982616962e-05	0.24898986781182503	0.000217773204795	0.0027084587515540004	1.4599123104343463e-05
378.0.	0.00012710713289100002	3.0031305425024503e-05	0.248972282915761	0.000220671193556	0.00269682804513	1.4530292427559181e-05
385.0.	0.00012873563241800001	3.063446838540787e-05	0.24895473786040903	0.00022353398857200002	0.002685235500734	1.4461676495104571e-05
392.0.	0.00013034110247100002	3.1238515792191715e-05	0.24893723246163302	0.00022636202658600003	0.0026736809548460003	1.4393274601389852e-05
399.0.	0.000131923738343	3.184341404149547e-05	0.24891976653674702	0.00022915573882	0.0026621642450330003	1.4325086045541612e-05
406.0.	0.00013348373386900002	3.2449129990388036e-05	0.24890233990450403	0.00023191555104900001	0.002650685209947	1.4257110131390341e-05
413.0.	0.000135021281427	3.30556309502474e-05	0.248884952385087	0.000234641883665	0.0026392436893220004	1.4189346167457801e-05
420.0.	0.000136536571954	3.3662884680223044e-05	0.248867603800094	0.00023733515175600002	0.0026278395239670003	1.41217934669441e-05
427.0.	0.000138029794955	3.4270859380798554e-05	0.24885029397253702	0.00023999576516500003	0.0026164725557640003	1.4054451347714531e-05
434.0.	0.000139501138515	3.4879523687455186e-05	0.24883302272682403	0.000242624128564	0.002605142627663	1.398731913228617e-05
441.0.	0.000140950789309	3.548884666443146e-05	0.24881578988875402	0.00024522064151600003	0.002593849583677	1.392039614781421e-05
448.0.	0.000142378932611	3.6098797798580595e-05	0.24879859528550302	0.00024778569854400003	0.0025825932688780004	1.3853681726078152e-05
455.0.	0.000143785752306	3.6709346993321246e-05	0.24878143874562103	0.000250319689193	0.0025713735293920004	1.3787175203467742e-05
462.0.	0.00014517143090000002	3.732046456268243e-05	0.24876432009901503	0.000252822998098	0.002560190212396	1.3720875920968672e-05
469.0.	0.00014653614953200002	3.7932121225439154e-05	0.24874723917694402	0.000255296005043	0.002549043166113	1.3654783224148123e-05
476.0.	0.00014788008798000002	3.8544288099338835e-05	0.24873019581201003	0.000257739085025	0.0025379322398060003	1.3588896463140121e-05
483.0.	0.00014920342467500001	3.91569366954162e-05	0.24871318983814503	0.000260152608314	0.002526857283776	1.3523214992630682e-05
490.0.	0.00015050633671	3.9770038912395144e-05	0.24869622109060602	0.00026253694051900004	0.002515818149356	1.3457738171842772e-05
497.0.	0.000151788999848	4.038356703117673e-05	0.248679289405961	0.00026489244264000004	0.002504814688906	1.339246536452114e-05
504.0.	0.000153051588535	4.0997493709411536e-05	0.24866239462208403	0.00026721947113300004	0.002493846755809	1.3327395938916942e-05
511.0.	0.000154294275908	4.161179197615484e-05	0.24864553657814503	0.00026951837796600003	0.002482914204469	1.326252926777223e-05
518.0.	0.000155517233805	4.222643522660409e-05	0.24862871511459803	0.000271789510677	0.002472016890301	1.3197864728304301e-05
525.0.	0.000156720632776	4.2841397216915974e-05	0.24861193007317803	0.000274033212431	0.002461154669732	1.3133401702189832e-05
532.0.	0.00015790464209100002	4.3456652059103413e-05	0.24859518129688302	0.00027624982207500004	0.002450327400192	1.306913957554898e-05
539.0.	0.00015906942974900002	4.4072174216009716e-05	0.248578468629976	0.000278439674195	0.002439534940113	1.3005077738929262e-05
546.0.	0.00016021516249	4.468793849635997e-05	0.248561791917966	0.00028060309916900003	0.0024287771489230003	1.2941215587289342e-05
553.0.	0.00016134200580200002	4.5303920049887076e-05	0.24854515100760802	0.00028274042322100004	0.0024180538870390003	1.287755251998267e-05
560.0.	0.000162450123933	4.5920094362532546e-05	0.24852854574688701	0.000284851968476	0.002407365015866	1.2814087940741082e-05
567.0.	0.000163539679897	4.653643725171984e-05	0.248511975985015	0.00028693805301	0.002396710397791	1.2750821257658121e-05
574.0.	0.00016461083548500002	4.715292486169971e-05	0.248495441572418	0.00028899899090500003	0.0023860898961780004	1.268775188317248e-05
581.0.	0.00016566375127600002	4.776953365896591e-05	0.248478942360732	0.00029103509229600003	0.002375503375365	1.262487923405111e-05
588.0.	0.00016669858664200001	4.8386240427740936e-05	0.24846247820279002	0.00029304666342500003	0.002364950700656	1.2562202731372401e-05
595.0.	0.00016771549976000001	4.9003022265529276e-05	0.24844604895261801	0.00029503400668700003	0.0023544317383200003	1.249972180050919e-05
602.0.	0.00016871464762	4.9619856578738875e-05	0.248429654465422	0.000296997420684	0.002343946355584	1.2437435871111712e-05
609.0.	0.000169696186035	5.0236721078368177e-05	0.24841329459758402	0.000298937200271	0.002333494420629	1.237534437709041e-05
616.0.	0.00017066026964800002	5.0853593775758375e-05	0.24839696920665102	0.000300853636602	0.0023230758025860002	1.2313446756598762e-05
623.0.	0.000171607051943	5.147045297841019e-05	0.24838067815133003	0.000302747017179	0.002312690371532	1.225174245201596e-05
630.0.	0.000172536685249	5.2087277285863336e-05	0.248364421291475	0.000304617625901	0.002302337998482	1.2190230909929522e-05
637.0.	0.00017344932075600002	5.2704045585637914e-05	0.248348198488083	0.000306465743105	0.0022920185553890002	1.212891158111789e-05
644.0.	0.00017434510851800002	5.332073704923743e-05	0.24833200960328602	0.000308291645617	0.002281731915134	1.20677839205329e-05
651.0.	0.00017522419746300003	5.3937331128211556e-05	0.24831585450034002	0.00031009560679	0.002271477951528	1.200684738728223e-05
658.0.	0.00017608673540100002	5.455380755027804e-05	0.24829973304362102	0.000311877896556	0.0022612565393	1.1946101444611802e-05
665.0.	0.00017693286903400001	5.517014631550287e-05	0.24828364509861403	0.00031363878146400005	0.002251067554099	1.18855455598881e-05
672.0.	0.000177762743964	5.57863276925378e-05	0.24826759053190703	0.00031537852472400004	0.002240910872486	1.1825179204580482e-05
679.0.	0.00017857650469900002	5.640233221491428e-05	0.24825156921118202	0.000317097386252	0.0022307863719280003	1.1765001854243372e-05
686.0.	0.000179374294664	5.7018140677392466e-05	0.248235581005209	0.00031879562271	0.0022206939307970004	1.1705012988498573e-05
693.0.	0.000180156256207	5.7633734132365517e-05	0.24821962578383902	0.000320473487547	0.002210633428363	1.1645212091017301e-05
700.0.	0.00018092253060900002	5.824909388631691e-05	0.24820370341799303	0.000322131231042	0.00220060474479	1.1585598649502432e-05
