time	ATIII	II	IIa	IIa_ATIII	IX	IXa	IXa_ATIII	IXa_VIIIa	IXa_VIIIa_X	TF	TFPI	TF_VII	TF_VIIa	TF_VIIa_ATIII	TF_VIIa_IX	TF_VIIa_X	TF_VIIa_Xa	TF_VIIa_Xa_TFPI	V	VII	VIII	VIIIa	VIIIa1_L	VIIIa2	VIIa	Va	X	Xa	Xa_ATIII	Xa_TFPI	Xa_Va	Xa_Va_II	mIIa	mIIa_ATIII
0.0.	3.3999999999999996e-06	1.4e-06	-9.183549615799121e-41	0.0	9e-08	0.0	0.0	0.0	0.0	5e-12	2.5e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-08	1e-08	7.000000000000001e-10	0.0	0.0	0.0	1e-10	0.0	1.6e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7.0.	3.399999993475453e-06	1.3999999884102461e-06	1.089576695700111e-14	6.1857583957358355e-16	8.999994952247913e-08	4.4390143622328197e-14	2.154546312229929e-16	7.712443742956549e-23	1.3910511384993433e-22	3.955291173805263e-12	2.499981467079058e-09	9.741908243176331e-13	2.805029154226281e-14	9.553579929244667e-17	5.871922384938133e-15	1.569878053572645e-14	4.733821011929623e-15	1.6067650602953528e-14	1.9999989750195932e-08	9.99888271906171e-09	6.999996412568577e-10	3.544834899244729e-16	4.2594360065265906e-18	4.2594360065265906e-18	1.0007257211209191e-10	1.024796678659132e-14	1.59999581769582e-07	3.73670377238787e-13	5.592680806040834e-15	2.4652703383086943e-15	9.998637329732537e-19	8.374114056180156e-19	7.227289971240123e-17	2.3005576942316356e-18
14.0.	3.3999999583410008e-06	1.3999999244226638e-06	6.178330556293953e-14	6.524442899508696e-15	8.999985325949456e-08	1.3709547233294012e-13	1.3007230742272242e-15	4.6399871271776265e-21	8.658110820455241e-21	3.147564736113881e-12	2.4999358209126784e-09	1.7262245995340319e-12	3.916423742524226e-14	2.878360161809402e-16	8.344296762015737e-15	2.214637913798475e-14	6.703256688047058e-15	4.956465832261436e-14	1.9999891890236153e-08	9.997426530603873e-09	6.999962161582657e-10	3.7048309320725345e-15	7.899750411754477e-17	7.899750411754477e-17	1.0072103413223881e-10	1.0800785779080391e-13	1.599987436794083e-07	1.130011903895676e-12	3.3178049950380404e-14	1.4614428998414612e-14	5.5413192047939044e-17	4.6492853948697264e-17	6.855146193480464e-15	3.6794821877663605e-16
21.0.	3.399999872927489e-06	1.399999713090633e-06	1.603425257007671e-13	2.5485129445310706e-14	8.999974212927793e-08	2.4535226025709174e-13	3.58899862773281e-15	4.8096372962404814e-20	9.105078640569766e-20	2.5226625919100936e-12	2.499871322268056e-09	2.306455623599982e-12	4.1678732140026515e-14	5.124649891970191e-16	8.929324074440834e-15	2.364504694338061e-14	7.165495127232246e-15	8.895072121564562e-14	1.9999577715898633e-08	9.995390389966891e-09	6.999852200564525e-10	1.4332387602897622e-14	4.474167974169928e-16	4.474167974169928e-16	1.0213227262501681e-10	4.2132024596866007e-13	1.5999776559459698e-07	1.983694029835308e-12	9.025915269575867e-14	3.972701072790611e-14	5.23935662747167e-16	4.399197249917961e-16	9.341502654110375e-14	7.226765824610931e-15
28.0.	3.3999996931528277e-06	1.399999027505892e-06	2.9983050308726214e-13	6.505061139854286e-14	8.999963166739277e-08	3.525953159124608e-13	7.14390800628981e-15	2.353210364651495e-19	4.489821352058481e-19	2.038918232260074e-12	2.499793689337203e-09	2.753752855490858e-12	4.0007900783966595e-14	7.368070001797804e-16	8.592699048392139e-15	2.273031077017905e-14	6.8921860427012195e-15	1.2836900860364792e-13	1.9998922141066552e-08	9.992725953136123e-09	6.9996227493733e-10	3.621428198729165e-14	1.5100963794872013e-15	1.5100963794872013e-15	1.043129650961349e-10	1.0735757611981649e-12	1.599967891120439e-07	2.793443190036732e-12	1.7722798519240751e-13	7.794165419285218e-14	2.3278385054213044e-15	1.9553337235704202e-15	5.489697985267395e-13	5.6687861008426116e-14
35.0.	3.399999298217572e-06	1.399997092207714e-06	4.683143047557785e-13	1.3105989563533752e-13	8.999952896121371e-08	4.5127525878817444e-13	1.189895979837919e-14	7.680182758637484e-19	1.4725261202173623e-18	1.6642636039802421e-12	2.4997069585638643e-09	3.0981526002025247e-12	3.656173384904013e-14	9.458813741879105e-16	7.862327194959358e-15	2.0787518598892478e-14	6.305057262431088e-15	1.6512127753772111e-13	1.9997828458345522e-08	9.989479140533063e-09	6.999239960420939e-10	7.219183516214536e-14	3.809882199358703e-15	3.809882199358703e-15	1.071851230709209e-10	2.1588674162941892e-12	1.5999587921090618e-07	3.496854921113468e-12	2.9112444997974374e-13	1.2792015859808251e-13	6.8874786777909495e-15	5.786759482307324e-15	2.0358780837122282e-12	2.667532422002433e-13
42.0.	3.3999984197694468e-06	1.399992567837172e-06	6.532518735399564e-13	2.272365636355087e-13	8.999943657788969e-08	5.386669431450912e-13	1.773354830308558e-14	1.938357573913557e-18	3.728818654561758e-18	1.3739834110669372e-12	2.499614051442376e-09	3.362885306031893e-12	3.260610766452792e-14	1.1341615809141442e-15	7.015951738859196e-15	1.854503688003485e-14	5.625921137164189e-15	1.982041038996692e-13	1.999623505233963e-08	9.985736400352936e-09	6.998682268318876e-10	1.237890200011082e-13	7.978480934982174e-15	7.978480934982174e-15	1.106375830581328e-10	3.735988896523533e-12	1.599950597832999e-07	4.073470895334584e-12	4.2766379648845047e-13	1.877444537241361e-13	1.573568669502958e-14	1.3223077133402561e-14	5.631988829914901e-12	9.064624839001814e-13
49.0.	3.3999965778241197e-06	1.399983582876883e-06	8.435658800187211e-13	3.5530334119973853e-13	8.999935478093505e-08	6.14502986525589e-13	2.451271481404199e-14	4.106240209487983e-18	7.918067858336255e-18	1.1490019814083249e-12	2.499517133778943e-09	3.56592849189968e-12	2.876720555216026e-14	1.3009536677776072e-15	6.191339337678743e-15	1.6363741861866118e-14	4.964744917459049e-15	2.274815413550526e-13	1.99941135064869e-08	9.981596121054281e-09	6.997939727270419e-10	1.913320039607116e-13	1.46832446891014e-14	1.46832446891014e-14	1.1455288092712911e-10	5.830989499831434e-12	1.599943337017331e-07	4.524295809786116e-12	5.822958179669019e-13	2.553846797016822e-13	3.015834327760785e-14	2.53456699732696e-14	1.273414517217539e-11	2.458763053603647e-12
56.0.	3.3999930429016717e-06	1.399967887880149e-06	1.0304168315385489e-12	5.153139293424556e-13	8.999928275201327e-08	6.796688692850598e-13	3.210667835594995e-14	7.664005533132857e-18	1.4804968030178562e-17	9.74576330686266e-13	2.4994178394908645e-09	3.721199833472807e-12	2.532295440191572e-14	1.4478454222124352e-15	5.4499701344705975e-15	1.440432012838061e-14	4.370553120720745e-15	2.532281926332278e-13	1.9991463099149513e-08	9.977153940573856e-09	6.997012084702329e-10	2.7418691392710885e-13	2.4582146866070218e-14	2.4582146866070218e-14	1.188206357568347e-10	8.443188733517292e-12	1.599936938933318e-07	4.86071086166587e-12	7.507335021983006e-13	3.28932316502224e-13	5.091705418925601e-14	4.27950627718057e-14	2.486609765276622e-11	5.657496374819111e-12
63.0.	3.39998683419229e-06	1.3999430694330841e-06	1.2073309954811008e-12	7.060490676226875e-13	8.999921924402692e-08	7.355052692462784e-13	4.039937379464572e-14	1.300617937089765e-17	2.5159421170457853e-17	8.392989394308071e-13	2.499317409666325e-09	3.8394755657954896e-12	2.2368219283079188e-14	1.577340435138031e-15	4.8131644460946395e-15	1.2722137260115991e-14	3.860296875870797e-15	2.758843364734062e-13	1.9988304230491824e-08	9.972495678085354e-09	6.99590648067214e-10	3.7102419600341863e-13	3.828957118194885e-14	3.828957118194885e-14	1.2334362085408139e-10	1.1551869995155738e-11	1.5999312927020522e-07	5.098438333093699e-12	9.291940213917339e-13	4.0670599720042757e-13	7.818379059319379e-14	6.571572241988334e-14	4.3462883222168965e-11	1.1488587908763379e-11
