time	CC	Cn	Mp	Mt	P0	P1	P2	T0	T1	T2
0.0.	0.0	1.8	0.1	0.1	0.0	0.4	0.0	0.0	0.4	0.0
0.0.72.0	0.16341274961506502	1.586814123755211	0.052630781775101006	0.052630781775101006	0.023207056694537	0.048485531534972	0.041248343652542006	0.023207056694537	0.048485531534972	0.041248343652542006
1.0.44.0	0.21303219283319003	1.441989978998457	0.060619517570309006	0.060619517570309006	0.016163218848479002	0.019021056833796002	0.021791231163931002	0.016163218848479002	0.019021056833796002	0.021791231163931002
2.0.16.0	0.22156247828135903	1.327591458325633	0.083112246402673	0.083112246402673	0.01924203975511	0.018371679707212003	0.021340002960757002	0.01924203975511	0.018371679707212003	0.021340002960757002
2.0.88.0	0.21510373701311503	1.22907914397446	0.11410419356913001	0.11410419356913001	0.026042015047234003	0.023561735543956002	0.023076813100515	0.026042015047234003	0.023561735543956002	0.023076813100515
3.0.5999999999999996.0	0.20357050632216603	1.140564369113666	0.15481504058339102	0.15481504058339102	0.035465506296145005	0.031406147308029	0.025703290416223	0.035465506296145005	0.031406147308029	0.025703290416223
4.0.32.0	0.19075654824170202	1.059509111700594	0.20787482612819402	0.20787482612819402	0.047949813136516	0.041904029410628006	0.029440014836100002	0.047949813136516	0.041904029410628006	0.029440014836100002
5.0.04.0	0.178112851225722	0.9846969603919691	0.276160808710525	0.276160808710525	0.064301115775555	0.055706266864213004	0.034750636090346	0.064301115775555	0.055706266864213004	0.034750636090346
5.0.76.0	0.16620797385344402	0.9154536560904141	0.36222946272332	0.36222946272332	0.08540669802033901	0.073607906620283	0.04218849340899301	0.08540669802033901	0.073607906620283	0.04218849340899301
6.0.4799999999999995.0	0.155305713540822	0.851353107506243	0.46780096367154905	0.46780096367154905	0.112097943502536	0.096388676783017	0.052400091975704007	0.112097943502536	0.096388676783017	0.052400091975704007
7.0.199999999999999.0	0.145610640994762	0.7921171370588771	0.593370977325482	0.593370977325482	0.145044098385735	0.12471426678208501	0.066146595214027	0.145044098385735	0.12471426678208501	0.066146595214027
