time	AA	Cn	DFG	E1	E2	FA	Fru	Glu	Gly	MG	Man	Mel	_1DG	_3DG
0.0.	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.162975822039156e-33	0.0	0.0
2.0.	0.035770562762205006	0.26489610712053	8.361389131491077	0.07665893827001401	0.21721668101201402	0.004406611040113	0.0031734566820230004	0.009552435732744	0.34453449223258503	0.004285189388302	0.005975085554857	0.000200756994313	0.018839965799974	0.006205456928438001
4.0.	0.153149953887113	0.503237566822909	7.76809202304929	0.116504031628158	0.34005807751390105	0.017365410389676	0.010805642685071	0.031851690808779004	0.773630993643011	0.016566479378115	0.019937010111647002	0.0017148741656380002	0.034774665086352005	0.019075533229578
6.0.	0.32368838506428804	0.716458334472576	7.216893357020323	0.13498813148649802	0.40392501126488806	0.038259659534209005	0.020877493780136	0.060440179458450004	1.238242982056809	0.036025029033592004	0.037859385694772006	0.0059505181714800005	0.043416302796098004	0.033268270289868
8.0.	0.524024997865402	0.905339542698512	6.704805964201168	0.14121227965007302	0.43127184703505506	0.06629694840556201	0.032132170356431004	0.091591490389391	1.708562211908269	0.061875261332963005	0.05741749737774401	0.014147697205435001	0.047408935164709	0.04622589098347701
10.0.	0.73933217076363	1.070541261750418	6.229054635247865	0.140527270522768	0.43631827572380005	0.10061249928606601	0.043795969614641	0.12318632917183	2.166855874951815	0.093353572372113	0.077288039448743	0.027243943553750004	0.048547039154097006	0.056906138134498005
12.0.	0.960309085837816	1.212844489906575	5.7870610806919895	0.13607032856751902	0.42804788655498105	0.14033111754534602	0.055400833606895	0.15404895053056902	2.602979364960123	0.12971888568501402	0.096735720836101	0.045841339225385004	0.047967795478932006	0.065060256902899
14.0.	1.181160902251073	1.333235857092373	5.376429958092176	0.12967273865835002	0.412116340656413	0.184603988755279	0.06667151101583	0.18355558323187202	3.011555116183823	0.17025814099863001	0.115369312930335	0.070225846409236	0.046387991797107	0.07082811010858
16.0.	1.398315246866836	1.432910548131809	4.994935890816576	0.122395888522626	0.39206554844607605	0.23263000216134702	0.077453860660494	0.211403499842497	3.390191258406617	0.21429302785982002	0.132997774253535	0.100411413808102	0.044257287735906	0.074516066614008
18.0.	1.609608910343071	1.5132364240147762	4.640511407726189	0.114847814465104	0.37009616061967404	0.283667422540671	0.08766933192401201	0.23747495575333702	3.7383514483911133	0.26118611124810004	0.14954547615487201	0.136193168797919	0.041855785520891	0.07647925338757801
20.0.	1.8137727140146471	1.5757034223835151	4.311235738746676	0.107370090392658	0.34755895169585604	0.33703945502312305	0.097286098469904	0.26175714555593305	4.056634338825783	0.310345535892361	0.16500232617259603	0.177200880339023	0.039356099851947005	0.07706261324647401
22.0.	2.010105278813182	1.621871259989648	4.005324405430987	0.100148133039877	0.325267306474741	0.392135899286004	0.10630078383565701	0.28429522662474604	4.346312158565887	0.36122807024312903	0.179394491911803	0.22294799648850702	0.036862833599889004	0.076574454748081
24.0.	2.198266373965741	1.65332200258917	3.721119550146624	0.09327627364526701	0.303695860584888	0.44841228544813405	0.11472692159691202	0.30516485464834303	4.6090342644136495	0.413340553317873	0.19276728095747	0.27287405120957103	0.034437674825564	0.075277423700181
26.0.	2.378145897636204	1.671620341710873	3.457080951472509	0.086796115226503	0.28310669810338	0.505387397556038	0.122587695466376	0.32445622512229605	4.846636506623377	0.466239951659056	0.20517518933400103	0.32637972857422903	0.032115344068007	0.07338836738863201
28.0.	2.549780654066915	1.678282322805869	3.211777677114174	0.080719114761071	0.26362945715665004	0.562639790063975	0.129911397461237	0.34226489289331	5.061019011283421	0.519532287340102	0.21667617314579302	0.38285473968468003	0.029913719878636003	0.07108234830778501
30.0.	2.713301316138756	1.674752148030083	2.983880329101097	0.075039852010302	0.245312114192052	0.6198037117688281	0.136728610468069	0.35868657818307503	5.254068566071212	0.5728707018425561	0.22732840430396803	0.44169913862533405	0.027840260663863	0.068498238357123
32.0.	2.868898445134061	1.662386132785069	2.772153839239715	0.069743801729702	0.228153120061744	0.676564726151858	0.143070483149585	0.373814311275023	5.4276103140011696	0.6259528988427	0.23718848376428303	0.5023389249676661	0.025896070819601002	0.06574455976438501
34.0.	3.016800545870767	1.64244268733952	2.5754507757777843	0.06481186356370601	0.212121680161298	0.7326552315294701	0.14896769527088102	0.38773694360661004	5.583378833474606	0.678518175696021	0.246310506552875	0.564236847022603	0.024078469009010003	0.062904929991488
36.0.	3.157259733209448	1.616077176729562	2.392705125006168	0.060222980968837006	0.197170500817092	0.787850024059435	0.15444985797219102	0.400538451999692	5.723002098496921	0.730344216864755	0.254745621415332	0.62689929471098	0.022382604482972003	0.060042845493037005
38.0.	3.290542226933331	1.584340594580403	2.222926514098031	0.055955635318207006	0.183243752043414	0.8419620028329161	0.159545186703102	0.41229769837990504	5.847994003865847	0.781243787194129	0.262541874708892	0.6898800946744991	0.020802468798809003	0.057205738122611004
40.0.	3.416921926730206	1.548181115875821	2.065194843876671	0.051988679302671	0.17028199625690502	0.8948380838236921	0.164280343822994	0.42308844645160104	5.959752560812502	0.831061431079377	0.26974421482404504	0.7527819197512481	0.019331523930244003	0.054428336433269005
42.0.	3.5366759700885533	1.5084477384151231	1.9186553024247672	0.048301783527800006	0.158225195772794	0.946355365153079	0.16868038558828002	0.43297951890872305	6.059561801179465	0.8796702561226211	0.27639458457813604	0.8152559170951731	0.017963087340752002	0.051735407229432005
44.0.	3.650081584626121	1.465895364825015	1.782513732511773	0.044875657858742	0.147014506673026	0.9964175678775321	0.172768772232944	0.44203502720792404	6.148596048671733	0.9269688570308021	0.28253205920586805	0.877000054284725	0.016690563412193	0.049143966314929004
46.0.	3.757413802249411	1.421190807106242	1.656032327733679	0.041692142716114	0.136593308762086	1.04495176288632	0.17656741509731502	0.45031463449191006	6.227925634276318	0.9728784170033691	0.288193005366574	0.937756586511803	0.015507578050927001	0.046665046030979006
48.0.	3.858943762292532	1.374919309551033	1.538525634040754	0.038734226348201006	0.126907757240307	1.091905384474153	0.180096744448507	0.457873829070545	6.298523419209511	1.017340009241458	0.29341124706807103	0.9973089631612271	0.014408052568915001	0.044305098977202
50.0.	3.954937430239202	1.327591282320427	1.4293568349839432	0.035986020976502005	0.11790703732984101	1.137243523943548	0.18337578778687902	0.46476419575409106	6.361271687047076	1.060312109937362	0.298218230567877	1.055478419662637	0.013386239751282001	0.042067106621121
52.0.	4.045654620397141	1.279649017635299	1.327934300548156	0.033432717063240004	0.10954343668310002	1.180946491579585	0.18642225233320803	0.47103367812797603	6.41696910558	1.101768325627347	0.302643183924362	1.112120440125502	0.012436736633695001	0.039951450576073
54.0.	4.131348249193108	1.231473224946916	1.233708380869168	0.031060526900040002	0.10177230817483501	1.223007632034543	0.189252607860338	0.47672682823951806	6.466337557063257	1.141695331601058	0.306713268978253	1.167121226992699	0.011554483178232001	0.037956594233398006
56.0.	4.212263769511566	1.1833892725474011	1.146168427458004	0.028856623974172	0.094551968835741	1.263431376166293	0.19188216759193802	0.481885042125112	6.510028705250423	1.180091013702244	0.31045372476618205	1.220394274481658	0.010734752644926002	0.036079613599242
58.0.	4.288638751286216	1.135673062878807	1.064840025789586	0.026809081778309003	0.08784356363227601	1.302231511373451	0.194325165871609	0.48654678072662105	6.5486302172684585	1.21696280293684	0.31388800206723805	1.271877111531369	0.009973137301148	0.034316608700199
60.0.	4.360702582840484	1.088556499230431	0.9892824242579411	0.024906814091882	0.081610911973043	1.3394296522064622	0.19659483191881902	0.49074777637362804	6.582671593702123	1.252326190497538	0.317037889175868	1.321528255975006	0.0092655317428	0.032663020711166
62.0.	4.428676273406375	1.042232524320607	0.919086145564421	0.023139517804337	0.07582034796031101	1.375053893303412	0.19870345936844702	0.494521225347665	6.6126295852169825	1.286203409849231	0.31992362920718803	1.369324403453946	0.008608115233524	0.031113874878990002
64.0.	4.492772341150129	0.9968597279613661	0.8538707675940831	0.021497618793858003	0.070440561063474	1.4091376273423841	0.200662471523388	0.49789796721587404	6.6389331914828915	1.318622272179377	0.32256402934856	1.415257861065689	0.007997333918801001	0.029663965201761
66.0.	4.553194773702018	0.9525665328909141	0.7932828617539041	0.019972221054688002	0.065442441151706	1.441718511593924	0.20248248238907002	0.500906651695595	6.661968250102138	1.3496151416285311	0.32497656251843704	1.459334225937557	0.007429883424832	0.028307993515870003
68.0.	4.610139050112084	0.9094549760016901	0.736994077599835	0.018555059084697	0.06079893010152101	1.47283756770235	0.20417335363941103	0.503573893829909	6.6820816311790185	1.379218037143279	0.32717746190601704	1.501570302034923	0.006902692133804	0.027040672997027
70.0.	4.663792214623682	0.8676041074659501	0.684699363372522	0.017238453444888002	0.056484881119858006	1.502538400451318	0.20574424770757302	0.505924418241695	6.699585058179821	1.40746984843215	0.329181808858277	1.5419922438829041	0.006412905290506	0.025856803972966
