time	ATIII	II	IIa	IIa_ATIII	IX	IXa	IXa_ATIII	IXa_VIIIa	IXa_VIIIa_X	TF	TFPI	TF_VII	TF_VIIa	TF_VIIa_ATIII	TF_VIIa_IX	TF_VIIa_X	TF_VIIa_Xa	TF_VIIa_Xa_TFPI	V	VII	VIII	VIIIa	VIIIa1_L	VIIIa2	VIIa	Va	X	Xa	Xa_ATIII	Xa_TFPI	Xa_Va	Xa_Va_II	mIIa	mIIa_ATIII
0.0.	3.3999999999999996e-06	1.4e-06	0.0	0.0	9e-08	0.0	0.0	0.0	0.0	2.4999999999999998e-11	2.5e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-08	1e-08	7.000000000000001e-10	4.484155085839415e-44	0.0	0.0	1e-10	0.0	1.6e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7.0.	3.399999967342949e-06	1.399999940565745e-06	5.44596223050815e-14	3.0916336285887155e-15	8.999974764488449e-08	2.219079504130749e-13	1.076900949325487e-15	1.926674359618075e-21	3.47498566630136e-21	1.9777391011699327e-11	2.4999073563319343e-09	4.869920227066597e-12	1.4031611767392691e-13	4.776014021266738e-16	2.937025868813303e-14	7.852460312828936e-14	2.367812191246145e-14	8.032205842913132e-14	1.999994877167323e-08	9.99441511979026e-09	6.999982070085631e-10	1.7716978159637381e-15	2.128821947418026e-17	2.128821947418026e-17	1.0036227122144111e-10	5.118245249475887e-14	1.599979091932171e-07	1.867961044283282e-12	2.79534676541879e-14	1.232160963648014e-14	2.4965245155457803e-17	2.090903431273243e-17	1.804642498610085e-15	5.744698965888676e-17
14.0.	3.399999784162118e-06	1.399999476579018e-06	3.09253669479583e-13	3.263531944199177e-14	8.999926395866505e-08	6.874455914460527e-13	6.511124879095283e-15	1.162251447965157e-19	2.1685565725405407e-19	1.573743099965838e-11	2.499678331611508e-09	8.627379220234792e-12	1.976118236087361e-13	1.4435065358981981e-15	4.208428551887099e-14	1.117113748927276e-13	3.38107034065831e-14	2.4852808614400653e-13	1.9999459240218392e-08	9.987135077334648e-09	6.999810734076434e-10	1.853125041143092e-14	3.9500886438571943e-16	3.9500886438571943e-16	1.036023536650102e-10	5.382146896977683e-13	1.599936995182854e-07	5.6646855523704274e-12	1.6606038656719172e-13	7.314030234670851e-14	1.3839387300588922e-15	1.1611531898500941e-15	1.711832949600439e-13	9.187544584767797e-15
21.0.	3.399999217922413e-06	1.399996540046595e-06	8.05214171678645e-13	1.277229903532396e-13	8.99986968850683e-08	1.239127368775099e-12	1.8030441595497102e-14	1.212659234438146e-18	2.2952860830110565e-18	1.2605655105273249e-11	2.4993513890209844e-09	1.1523308771070458e-11	2.146881345025896e-13	2.5887262394163802e-15	4.595361332332632e-14	1.217241365844032e-13	3.688296292194523e-14	4.4919855008460695e-13	1.999788374712475e-08	9.976927736835824e-09	6.999259311493664e-10	7.18253881223949e-14	2.239954566108681e-15	2.239954566108681e-15	1.106779182694492e-10	2.0921401677221638e-12	1.599887127972532e-07	1.000272882520014e-11	4.5314084013616247e-13	1.994124289305704e-13	1.310728784049688e-14	1.100541968936957e-14	2.335416235103525e-12	1.805945881009134e-13
28.0.	3.3999973204605882e-06	1.399982935232166e-06	1.512975819689719e-12	3.269690194896078e-13	8.999811683094037e-08	1.801304079339661e-12	3.6097782748040024e-14	5.994454515280676e-18	1.1434209588946652e-17	1.017298368513337e-11	2.498951424934376e-09	1.3750748323228999e-11	2.1330943320981168e-13	3.764989075687474e-15	4.5749768816822545e-14	1.2108112748205612e-13	3.6706013860241067e-14	6.556566591930201e-13	1.9994582883885694e-08	9.963496805085813e-09	6.998104009359992e-10	1.8200691348342771e-13	7.57472185328691e-15	7.57472185328691e-15	1.216761785993191e-10	5.30961869048574e-12	1.599835923787596e-07	1.4200074535426329e-11	8.936756398024727e-13	3.929184064299978e-13	5.842357735193507e-14	4.907384647143389e-14	1.37567171681425e-11	1.4190319795565068e-12
35.0.	3.39999110394332e-06	1.399938942132218e-06	2.377109742440151e-12	6.611863867880266e-13	8.99975541993002e-08	2.341258976590597e-12	6.05973099795686e-14	1.983637065139166e-17	3.80194906288054e-17	8.280348850639447e-12	2.498495601187793e-09	1.545880781771556e-11	2.0445752757130472e-13	4.907857187202485e-15	4.3886557321451836e-14	1.161081881955686e-13	3.520683555936583e-14	8.562763658101002e-13	1.9989047232672102e-08	9.947014833448464e-09	6.996166531435235e-10	3.64131077114085e-13	1.915792350138602e-14	1.915792350138602e-14	1.362655154021762e-10	1.063337804179192e-11	1.599786170889933e-07	1.793222288787326e-11	1.475546977134194e-12	6.481224463949587e-13	1.735671549607442e-13	1.458221311545161e-13	5.117993137476161e-11	6.6938181468112684e-12
42.0.	3.399973762369486e-06	1.3998302964817749e-06	3.3381710379856143e-12	1.151223808483536e-12	8.999701988004952e-08	2.8472794050938857e-12	9.118130812043782e-14	5.089961335267548e-17	9.787550879743249e-17	6.806196306004001e-12	2.4979970703995752e-09	1.676304726625825e-11	1.933357721471798e-13	5.993920365041593e-15	4.1510462079196324e-14	1.0980671930523652e-13	3.330025547850307e-14	1.0468092983625968e-12	1.998093352127893e-08	9.927883916971292e-09	6.993326732447624e-10	6.269429497878528e-13	4.023503032767832e-14	4.023503032767832e-14	1.539222793347105e-10	1.8333741531227452e-11	1.599738868598657e-07	2.1055320190446987e-11	2.1789483031915136e-12	9.561203020621558e-13	3.9817804816081713e-13	3.345591416883406e-13	1.4206928106478693e-10	2.281028317153646e-11
49.0.	3.3999334289958016e-06	1.399610564000726e-06	4.346458465121288e-12	1.806902187845302e-12	8.999651562397841e-08	3.317554426154733e-12	1.27381399995081e-13	1.0949298935544771e-16	2.110289911571079e-16	5.6546034624861315e-12	2.4974671700214456e-09	1.775572005293914e-11	1.8219548873545e-13	7.019046025004624e-15	3.911967342842884e-14	1.0347856762167109e-13	3.138348684224646e-14	1.226480221921931e-12	1.997008230972995e-08	9.906625301878643e-09	6.989528808405482e-10	9.726772696981904e-13	7.412136777289984e-14	7.412136777289984e-14	1.740293015838403e-10	2.85113558722252e-11	1.5996941696031918e-07	2.3528583301799707e-11	2.980218918998332e-12	1.306349756631153e-12	7.642321798622586e-13	6.421022179583489e-13	3.209910537594586e-10	6.164948264331934e-11
56.0.	3.3998540746941265e-06	1.3992303291077541e-06	5.375938247841633e-12	2.628060135712588e-12	8.999603925843706e-08	3.754604303084656e-12	1.686497602678751e-13	2.064766977927215e-16	3.986069407536581e-16	4.7493678379945946e-12	2.4969159670808893e-09	1.8510800919867088e-11	1.7178764298165422e-13	7.987436045433636e-15	3.68824159041093e-14	9.756100301389816e-14	2.959032199165735e-14	1.396022422201566e-12	1.9956500286213552e-08	9.883791270944628e-09	6.984775100174738e-10	1.398253349383619e-12	1.23631549503761e-13	1.23631549503761e-13	1.9595809689336501e-10	4.112996194396443e-11	1.59965185653094e-07	2.537799015001124e-11	3.855022062256792e-12	1.6880104969076938e-12	1.287881893314085e-12	1.081869949176535e-12	6.213194374351445e-10	1.392655864765684e-10
63.0.	3.399710464681422e-06	1.39862279602137e-06	6.4372642537140636e-12	3.625376599222663e-12	8.999558942545463e-08	4.159823632301123e-12	2.1482461948385261e-13	3.5696487234811957e-16	6.900310990724749e-16	4.045609546481483e-12	2.4963512594804584e-09	1.907198139407196e-11	1.624805791244428e-13	8.901737291634748e-15	3.487929758692518e-14	9.226555424284385e-14	2.798519258436119e-14	1.555896698616356e-12	1.994001647456674e-08	9.859815863372351e-09	6.979005766098357e-10	1.905637651613719e-12	1.9273874257898332e-13	1.9273874257898332e-13	2.1922974617412782e-10	5.633938172293214e-11	1.59961175931447e-07	2.6625364922218797e-11	4.784878622861916e-12	2.0928438209240162e-12	1.980801682802717e-12	1.6633420275258198e-12	1.084576658750376e-09	2.809013369984965e-10
