time	C	M	X	Y	Z
0.0.	0.0	0.0	0.0	0.0	1.0
1.0.	0.15058853084645302	0.07790663504623001	0.0059397354643040004	0.243766636465532	0.945207868970735
2.0.	0.285525032440751	0.215025135379864	0.028378254208365	0.46964819054797	0.8968111506841171
3.0.	0.39451153976428205	0.37830209736027204	0.06988182809219	0.676531157163849	0.8568138227905111
4.0.	0.46745527894944605	0.546327735112183	0.133889287804272	0.8648030036395431	0.825731190724684
5.0.	0.49502047078874106	0.6962618282467321	0.22099466527267403	1.036394221227349	0.8024788096737311
6.0.	0.47096568778243303	0.8043233072361601	0.325511010945911	1.194623789974191	0.78446066034907
7.0.	0.395237445966766	0.8572667465315661	0.435694220333439	1.343790016148891	0.767924772283032
8.0.	0.275958601437023	0.8623206957452341	0.5388154369139501	1.488513512319189	0.748591144367718
9.0.	0.13180816809544701	0.820251175782009	0.6248562315074	1.63288308360227	0.7225106708107141
10.0.	0.022008622950204	0.691259450592789	0.6831047747452601	1.778536500145732	0.688042589504396
11.0.	0.012448854279275001	0.504576881715332	0.703844376078376	1.919536191123649	0.651208539412452
12.0.	0.012366315670799	0.32883287009636103	0.6910408878957981	2.051936320540354	0.616318188268102
13.0.	0.013167981226834002	0.17810364833504402	0.650524915927959	2.1760464615073642	0.58347618844931
14.0.	0.014986431856962001	0.07343416726946	0.588037547508062	2.292274336518842	0.552668710176331
15.0.	0.018190477452025	0.02994365913886	0.5131334195288351	2.400962578830131	0.5239281232139681
16.0.	0.023372741542627	0.023513849866135	0.436011050642915	2.502367370745452	0.49735784856901705
17.0.	0.03165545998865	0.028977667092743003	0.361884879700608	2.596615914185098	0.47317965054049205
18.0.	0.044895896587529	0.04100736806479	0.29331580185128203	2.683623997250144	0.45182365555677406
19.0.	0.06524467272564301	0.061485799076313005	0.23288253028958003	2.763022918641475	0.43401279158716904
20.0.	0.093715064912745	0.093997666898313	0.183852560288208	2.834216266206957	0.42071822232826706
21.0.	0.128584693625641	0.141363525272858	0.149752720319375	2.896671466078006	0.41287224671765105
22.0.	0.165231591909399	0.203697569396244	0.133162721527944	2.950351317477393	0.41092415172033403
23.0.	0.197547270125104	0.277611050457565	0.13467548016105602	2.996031091274074	0.414492828287489
