time	Ln_	NRLn	NRn	RE	REL
0.0.	0.0	0.0	370.0	3.7	0.0
0.0.3.0	8.119782096161778e-05	0.024135461256927	369.89315817539	3.6172936366471893	0.08270636335280901
0.0.6.0	0.00014502912734900002	0.047807603694086	369.78766262386637	3.5354702275607153	0.16452977243928202
0.0.8999999999999999.0	0.000210311651192	0.072004801161634	369.68356299780623	3.455567798968156	0.24443220103184202
1.0.2.0	0.00027701725385200003	0.09671644880369501	369.58089032305435	3.377606771858245	0.32239322814175203
1.0.5.0	0.00034511127181500003	0.12192955488895502	369.47967494098395	3.3016044958731072	0.398395504126889
1.0.7999999999999998.0	0.000414552370956	0.147628689793564	369.3799463657203	3.22757505551405	0.472424944485947
2.0.1.0	0.00048529246901600004	0.173795960104995	369.2817331390213	3.155529099126479	0.54447090087352
2.0.4.0	0.0005572767324550001	0.20041101006045703	369.18506268433845	3.085473694399095	0.614526305600902
2.0.6999999999999997.0	0.000630443652589	0.227451052082242	369.08996116174154	3.017412213823946	0.6825877861760521
3.0.	0.000704725204296	0.254890927566848	368.9964533254575	2.951344253024623	0.7486557469753751
3.0.3.0	0.0007800470887140001	0.28270319839684904	368.90456238582846	2.887265584225591	0.8127344157744061
3.0.5999999999999996.0	0.000856329059312	0.31085826890157203	368.81430987749735	2.825168146399365	0.8748318536006321
3.0.9.0	0.0009334853286330001	0.33932453722183903	368.7257155355972	2.76504007281962	0.9349599271803781
4.0.2.0	0.0010114250509060002	0.36806857426732903	368.6387971816303	2.70686575589831	0.993134244101687
4.0.5.0	0.001090052873714	0.39705532772594604	368.5535706206012	2.650625948328009	1.049374051671989
4.0.8.0	0.0011692695501060002	0.42624834792488603	368.4700495507963	2.596297898722232	1.103702101277766
5.0.1.0	0.001248972600983	0.45561003178219006	368.38824548739717	2.543855519180643	1.156144480819355
5.0.3999999999999995.0	0.001329057016381	0.485101880649192	368.3081677008824	2.493269581533017	1.20673041846698
5.0.7.0	0.0014094159834140002	0.5146847675459051	368.2298231709135	2.444507938460978	1.2554920615390182
6.0.	0.0014899416282360002	0.544319209142627	368.15321655613354	2.397535765277882	1.302464234722116
6.0.3.0	0.0015705257593350002	0.5739656378434851	368.07835018002993	2.3523158178753603	1.347684182124637
6.0.6.0	0.0016510605998750001	0.603584669475269	368.0052240327453	2.308808702222641	1.391191297777356
6.0.8999999999999995.0	0.001731439497515	0.6331373623642991	367.9338357884601	2.266973150826632	1.433026849173367
7.0.199999999999999.0	0.0018115576011930002	0.6625854639766741	367.8641808377365	2.226766301715519	1.473233698284478
7.0.5.0	0.0018913124956770001	0.691891641779655	367.7962523339969	2.188143975779034	1.511856024220962
7.0.8.0	0.0019706047861410003	0.7210196955291761	367.73004125313213	2.151060948663862	1.548939051336134
8.0.1.0	0.002049338626613	0.749934748773971	367.66553646508316	2.115471213859865	1.584528786140132
8.0.4.0	0.002127422187796	0.7786034179658671	367.60272481612947	2.081328234098183	1.6186717659018122
8.0.7.0	0.0022047680613290002	0.8069939581549811	367.5415912205351	2.048585178693021	1.651414821306974
9.0.	0.002281293599121	0.83507638480845	367.4821187601625	2.017195144974047	1.6828048550259491
9.0.299999999999999.0	0.0023569211877790004	0.862822571805665	367.424288790649	1.987111362457772	1.712888637542223
9.0.6.0	0.002431578459406	0.8902063261200971	367.3680810527557	1.958287378878977	1.7417126211210192
9.0.9.0	0.0025051984411310004	0.9172034400897461	367.313473787543	1.930677227635961	1.769322772364035
10.0.2.0	0.00257771964663	0.943791722501189	367.26044385408375	1.90423557658817	1.795764423411825
10.0.5.0	0.0026490861135810002	0.969951009965445	367.2089668485083	1.87891785847687	1.821082141523125
10.0.799999999999999.0	0.002719247391545	0.995663160249696	367.1590172232644	1.8546803835172812	1.8453196164827141
11.0.1.0	0.0027881584850760004	1.020912029351709	367.11056840557956	1.8314804349344782	1.868519565065517
11.0.4.0	0.0028557797571	1.04568343416965	367.0635929142152	1.8092763483879022	1.890723651612093
11.0.7.0	0.002922076797615	1.0699651026358201	367.0180624737156	1.788027576354435	1.91197242364556
12.0.	0.002987020262731	1.093746613156333	366.9739481254631	1.767694738622467	1.9323052613775291
