TFPI	VIIa_TF	VIIa_TF_X	VIIa_TF_Xa	VIIa_TF_Xa_TFPI	X	Xa	Xa_TFPI	Xa_TFPI_VIIa_TF
1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0
